image_id,dim0,dim1
00011723_040,1024,1024
00012348_003,1024,1024
00000733_003,1024,1024
00018246_000,1024,1024
00029104_000,1024,1024
00022345_003,1024,1024
00001982_000,1024,1024
00016607_018,1024,1024
00007531_000,1024,1024
00009768_002,1024,1024
00024807_000,1024,1024
00005401_007,1024,1024
00002835_003,1024,1024
00029863_021,1024,1024
00020736_000,1024,1024
00014010_006,1024,1024
00026810_011,1024,1024
00020008_001,1024,1024
00029880_012,1024,1024
00002763_002,1024,1024
00016908_001,1024,1024
00005722_000,1024,1024
00018805_001,1024,1024
00011822_002,1024,1024
00017972_028,1024,1024
00012903_005,1024,1024
00016992_000,1024,1024
00005963_023,1024,1024
00006695_002,1024,1024
00014947_000,1024,1024
00015373_000,1024,1024
00010634_001,1024,1024
00028725_002,1024,1024
00027648_010,1024,1024
00007322_019,1024,1024
00009551_010,1024,1024
00003459_017,1024,1024
00016778_003,1024,1024
00000444_001,1024,1024
00016059_000,1024,1024
00028795_007,1024,1024
00001075_003,1024,1024
00001657_000,1024,1024
00000013_005,1024,1024
00004132_006,1024,1024
00028690_000,1024,1024
00015146_001,1024,1024
00030408_005,1024,1024
00020326_009,1024,1024
00012874_003,1024,1024
00022276_000,1024,1024
00007864_011,1024,1024
00022335_018,1024,1024
00001521_000,1024,1024
00007728_001,1024,1024
00019812_005,1024,1024
00016579_000,1024,1024
00009026_000,1024,1024
00018496_008,1024,1024
00006996_004,1024,1024
00015700_004,1024,1024
00005270_001,1024,1024
00021065_002,1024,1024
00011559_000,1024,1024
00023146_000,1024,1024
00000865_004,1024,1024
00026713_009,1024,1024
00002919_004,1024,1024
00027748_000,1024,1024
00000974_002,1024,1024
00023160_006,1024,1024
00014688_001,1024,1024
00018602_002,1024,1024
00013888_000,1024,1024
00003169_001,1024,1024
00008067_026,1024,1024
00012470_005,1024,1024
00007193_012,1024,1024
00003919_000,1024,1024
00026400_000,1024,1024
00029174_003,1024,1024
00014637_000,1024,1024
00008911_006,1024,1024
00004893_074,1024,1024
00003371_001,1024,1024
00000194_004,1024,1024
00025642_000,1024,1024
00016528_000,1024,1024
00013844_000,1024,1024
00029813_009,1024,1024
00013904_006,1024,1024
00014771_005,1024,1024
00008127_001,1024,1024
00014949_000,1024,1024
00012880_015,1024,1024
00025954_018,1024,1024
00027066_004,1024,1024
00016051_023,1024,1024
00010384_013,1024,1024
00010334_005,1024,1024
00028105_001,1024,1024
00003868_006,1024,1024
00015732_004,1024,1024
00013670_148,1024,1024
00010652_004,1024,1024
00014732_003,1024,1024
00011153_000,1024,1024
00009321_013,1024,1024
00029579_006,1024,1024
00027213_029,1024,1024
00028593_003,1024,1024
00009016_003,1024,1024
00015732_026,1024,1024
00008535_012,1024,1024
00000057_001,1024,1024
00014570_000,1024,1024
00002048_013,1024,1024
00016811_005,1024,1024
00026004_007,1024,1024
00013680_000,1024,1024
00000627_017,1024,1024
00006039_001,1024,1024
00012021_037,1024,1024
00001547_005,1024,1024
00029379_000,1024,1024
00001301_036,1024,1024
00018575_000,1024,1024
00020523_000,1024,1024
00004893_020,1024,1024
00021173_003,1024,1024
00028013_003,1024,1024
00003446_000,1024,1024
00003332_000,1024,1024
00011391_013,1024,1024
00017685_005,1024,1024
00007093_020,1024,1024
00027108_014,1024,1024
00007193_007,1024,1024
00005089_020,1024,1024
00026222_009,1024,1024
00019484_005,1024,1024
00018258_001,1024,1024
00021291_000,1024,1024
00013615_034,1024,1024
00006180_001,1024,1024
00002300_016,1024,1024
00019805_002,1024,1024
00001272_000,1024,1024
00010222_008,1024,1024
00005986_009,1024,1024
00019400_000,1024,1024
00005372_009,1024,1024
00001160_000,1024,1024
00018644_006,1024,1024
00020811_011,1024,1024
00022335_011,1024,1024
00013615_019,1024,1024
00030573_013,1024,1024
00012681_043,1024,1024
00022444_002,1024,1024
00001153_004,1024,1024
00019324_000,1024,1024
00028298_000,1024,1024
00028109_000,1024,1024
00008008_053,1024,1024
00019766_004,1024,1024
00004344_023,1024,1024
00007830_002,1024,1024
00013922_029,1024,1024
00006574_000,1024,1024
00010092_027,1024,1024
00015166_004,1024,1024
00000468_045,1024,1024
00003951_000,1024,1024
00017710_005,1024,1024
00012646_010,1024,1024
00030218_001,1024,1024
00025467_000,1024,1024
00020294_009,1024,1024
00030565_000,1024,1024
00018573_001,1024,1024
00018390_007,1024,1024
00020408_066,1024,1024
00011925_054,1024,1024
00026105_000,1024,1024
00020450_006,1024,1024
00025841_002,1024,1024
00016521_008,1024,1024
00002278_000,1024,1024
00013774_035,1024,1024
00021996_009,1024,1024
00020299_000,1024,1024
00015264_003,1024,1024
00001736_013,1024,1024
00015401_010,1024,1024
00008777_002,1024,1024
00025961_000,1024,1024
00001799_001,1024,1024
00016918_017,1024,1024
00001104_012,1024,1024
00027235_000,1024,1024
00006499_007,1024,1024
00016103_005,1024,1024
00002425_000,1024,1024
00004639_002,1024,1024
00006237_018,1024,1024
00012158_025,1024,1024
00017906_010,1024,1024
00014438_008,1024,1024
00001821_000,1024,1024
00029808_003,1024,1024
00015100_005,1024,1024
00023152_000,1024,1024
00011702_045,1024,1024
00027389_010,1024,1024
00012625_003,1024,1024
00019756_005,1024,1024
00002484_002,1024,1024
00030062_000,1024,1024
00025444_007,1024,1024
00000643_001,1024,1024
00018679_002,1024,1024
00015664_001,1024,1024
00007157_032,1024,1024
00022931_000,1024,1024
00022106_011,1024,1024
00020945_031,1024,1024
00018287_000,1024,1024
00003028_051,1024,1024
00001362_000,1024,1024
00008438_000,1024,1024
00005483_001,1024,1024
00006271_018,1024,1024
00028182_000,1024,1024
00000531_005,1024,1024
00007121_003,1024,1024
00020204_019,1024,1024
00006027_000,1024,1024
00020482_012,1024,1024
00000807_000,1024,1024
00000017_001,1024,1024
00015386_011,1024,1024
00000061_002,1024,1024
00020458_022,1024,1024
00029720_000,1024,1024
00015388_003,1024,1024
00000632_011,1024,1024
00001970_003,1024,1024
00022883_006,1024,1024
00020106_005,1024,1024
00012079_003,1024,1024
00017467_006,1024,1024
00010123_003,1024,1024
00004998_000,1024,1024
00020725_001,1024,1024
00020318_027,1024,1024
00028357_037,1024,1024
00012087_042,1024,1024
00027706_014,1024,1024
00005218_012,1024,1024
00021036_008,1024,1024
00028485_006,1024,1024
00016649_002,1024,1024
00016620_007,1024,1024
00002913_000,1024,1024
00018472_003,1024,1024
00030588_000,1024,1024
00028529_001,1024,1024
00010815_023,1024,1024
00029813_031,1024,1024
00001977_003,1024,1024
00014149_030,1024,1024
00028069_003,1024,1024
00021835_001,1024,1024
00014625_001,1024,1024
00000459_004,1024,1024
00019293_000,1024,1024
00007090_004,1024,1024
00020113_018,1024,1024
00030398_000,1024,1024
00009727_017,1024,1024
00011140_014,1024,1024
00010579_000,1024,1024
00019466_001,1024,1024
00001373_052,1024,1024
00014029_004,1024,1024
00009855_001,1024,1024
00006323_009,1024,1024
00012774_000,1024,1024
00020361_000,1024,1024
00028295_000,1024,1024
00024891_000,1024,1024
00017947_018,1024,1024
00017331_000,1024,1024
00013917_049,1024,1024
00000809_001,1024,1024
00025543_011,1024,1024
00014356_012,1024,1024
00014844_005,1024,1024
00010403_000,1024,1024
00022310_006,1024,1024
00004508_003,1024,1024
00004973_001,1024,1024
00023309_018,1024,1024
00006504_006,1024,1024
00000642_000,1024,1024
00010294_052,1024,1024
00015443_007,1024,1024
00018421_006,1024,1024
00017731_005,1024,1024
00017177_000,1024,1024
00012640_014,1024,1024
00026466_002,1024,1024
00005220_005,1024,1024
00014790_000,1024,1024
00020826_000,1024,1024
00026204_016,1024,1024
00010563_010,1024,1024
00017634_000,1024,1024
00030079_047,1024,1024
00015355_000,1024,1024
00012304_008,1024,1024
00003382_008,1024,1024
00023203_002,1024,1024
00016918_000,1024,1024
00016785_007,1024,1024
00029998_010,1024,1024
00013073_005,1024,1024
00006953_003,1024,1024
00003129_011,1024,1024
00008687_000,1024,1024
00020789_000,1024,1024
00002395_021,1024,1024
00012659_002,1024,1024
00017088_003,1024,1024
00020290_009,1024,1024
00008522_002,1024,1024
00001006_002,1024,1024
00003856_000,1024,1024
00022301_003,1024,1024
00008381_003,1024,1024
00013104_001,1024,1024
00021610_002,1024,1024
00015988_000,1024,1024
00012043_007,1024,1024
00029721_000,1024,1024
00022574_000,1024,1024
00016882_004,1024,1024
00010065_000,1024,1024
00001248_005,1024,1024
00020671_001,1024,1024
00013119_002,1024,1024
00027057_000,1024,1024
00021113_000,1024,1024
00022596_006,1024,1024
00022893_000,1024,1024
00011460_021,1024,1024
00010198_011,1024,1024
00006271_037,1024,1024
00009012_008,1024,1024
00006583_003,1024,1024
00010790_006,1024,1024
00008690_000,1024,1024
00011598_007,1024,1024
00017104_000,1024,1024
00019765_008,1024,1024
00030410_000,1024,1024
00007775_000,1024,1024
00013646_002,1024,1024
00025505_001,1024,1024
00006713_005,1024,1024
00004469_000,1024,1024
00016975_003,1024,1024
00002173_000,1024,1024
00002817_012,1024,1024
00015169_000,1024,1024
00012132_003,1024,1024
00009953_025,1024,1024
00013209_012,1024,1024
00007212_006,1024,1024
00003535_021,1024,1024
00018703_002,1024,1024
00009931_000,1024,1024
00020170_004,1024,1024
00012116_001,1024,1024
00009446_000,1024,1024
00014571_010,1024,1024
00001943_000,1024,1024
00028864_008,1024,1024
00021489_014,1024,1024
00010634_004,1024,1024
00016403_001,1024,1024
00026546_015,1024,1024
00010585_018,1024,1024
00020052_003,1024,1024
00007034_021,1024,1024
00014041_000,1024,1024
00007060_020,1024,1024
00011845_008,1024,1024
00000246_011,1024,1024
00005778_031,1024,1024
00008885_009,1024,1024
00021972_000,1024,1024
00005222_000,1024,1024
00013249_037,1024,1024
00021277_012,1024,1024
00003867_012,1024,1024
00024471_000,1024,1024
00028696_001,1024,1024
00011785_002,1024,1024
00015223_000,1024,1024
00001170_054,1024,1024
00016739_000,1024,1024
00013572_000,1024,1024
00017714_026,1024,1024
00011793_004,1024,1024
00023956_000,1024,1024
00018080_008,1024,1024
00017798_000,1024,1024
00018055_047,1024,1024
00001748_007,1024,1024
00001437_043,1024,1024
00015945_001,1024,1024
00011048_001,1024,1024
00019098_000,1024,1024
00026524_002,1024,1024
00016634_000,1024,1024
00001872_014,1024,1024
00009453_003,1024,1024
00020190_003,1024,1024
00004251_000,1024,1024
00017151_012,1024,1024
00002803_002,1024,1024
00008267_000,1024,1024
00000996_002,1024,1024
00001445_003,1024,1024
00020623_000,1024,1024
00025423_000,1024,1024
00030026_002,1024,1024
00001984_011,1024,1024
00013511_002,1024,1024
00000632_012,1024,1024
00027908_003,1024,1024
00019710_000,1024,1024
00005243_000,1024,1024
00020524_008,1024,1024
00013855_006,1024,1024
00013934_000,1024,1024
00006653_000,1024,1024
00020972_002,1024,1024
00016023_001,1024,1024
00008499_004,1024,1024
00026132_029,1024,1024
00002760_000,1024,1024
00012484_001,1024,1024
00004893_058,1024,1024
00021201_027,1024,1024
00019766_003,1024,1024
00004006_026,1024,1024
00022870_004,1024,1024
00007026_000,1024,1024
00028545_002,1024,1024
00008694_002,1024,1024
00029869_000,1024,1024
00015826_009,1024,1024
00011898_000,1024,1024
00012018_015,1024,1024
00026473_000,1024,1024
00002673_019,1024,1024
00017138_048,1024,1024
00027743_000,1024,1024
00001990_002,1024,1024
00017138_022,1024,1024
00023498_006,1024,1024
00026179_005,1024,1024
00006593_000,1024,1024
00015133_002,1024,1024
00025813_000,1024,1024
00005892_017,1024,1024
00012648_004,1024,1024
00003478_008,1024,1024
00007407_001,1024,1024
00027290_000,1024,1024
00020513_028,1024,1024
00017333_002,1024,1024
00026374_009,1024,1024
00007322_016,1024,1024
00004374_000,1024,1024
00007098_006,1024,1024
00000362_001,1024,1024
00015425_011,1024,1024
00030636_014,1024,1024
00003269_007,1024,1024
00014869_001,1024,1024
00019999_002,1024,1024
00012320_003,1024,1024
00004843_004,1024,1024
00017136_017,1024,1024
00022245_003,1024,1024
00027045_002,1024,1024
00021620_000,1024,1024
00002639_008,1024,1024
00010305_000,1024,1024
00001301_013,1024,1024
00019312_000,1024,1024
00006821_005,1024,1024
00000030_001,1024,1024
00004682_001,1024,1024
00017443_009,1024,1024
00016932_002,1024,1024
00010583_016,1024,1024
00000737_000,1024,1024
00027872_000,1024,1024
00020076_000,1024,1024
00030712_000,1024,1024
00012283_000,1024,1024
00003094_005,1024,1024
00026321_001,1024,1024
00013844_004,1024,1024
00009403_005,1024,1024
00025787_012,1024,1024
00019741_002,1024,1024
00017920_018,1024,1024
00003834_000,1024,1024
00006624_002,1024,1024
00026130_000,1024,1024
00021954_000,1024,1024
00006468_003,1024,1024
00018867_024,1024,1024
00012834_024,1024,1024
00009995_016,1024,1024
00021711_015,1024,1024
00016368_000,1024,1024
00014031_003,1024,1024
00020326_003,1024,1024
00005448_004,1024,1024
00017647_001,1024,1024
00025426_003,1024,1024
00003465_004,1024,1024
00002716_000,1024,1024
00012573_015,1024,1024
00014844_000,1024,1024
00025181_006,1024,1024
00029774_005,1024,1024
00010162_000,1024,1024
00011588_000,1024,1024
00001626_000,1024,1024
00028698_000,1024,1024
00025761_001,1024,1024
00004090_001,1024,1024
00010620_001,1024,1024
00017613_000,1024,1024
00012628_063,1024,1024
00008346_000,1024,1024
00007328_012,1024,1024
00014306_004,1024,1024
00014110_000,1024,1024
00000957_001,1024,1024
00006736_009,1024,1024
00008008_059,1024,1024
00028522_000,1024,1024
00001790_001,1024,1024
00003719_006,1024,1024
00011065_007,1024,1024
00012098_000,1024,1024
00004746_025,1024,1024
00008470_008,1024,1024
00011571_012,1024,1024
00016574_001,1024,1024
00023770_000,1024,1024
00000032_001,1024,1024
00014201_008,1024,1024
00027028_008,1024,1024
00019271_013,1024,1024
00008763_004,1024,1024
00005537_012,1024,1024
00003053_001,1024,1024
00013055_007,1024,1024
00014149_044,1024,1024
00016587_025,1024,1024
00010582_009,1024,1024
00011723_029,1024,1024
00010380_008,1024,1024
00014792_004,1024,1024
00009938_003,1024,1024
00015236_000,1024,1024
00009798_025,1024,1024
00029734_000,1024,1024
00022881_006,1024,1024
00008357_000,1024,1024
00015045_002,1024,1024
00003649_001,1024,1024
00004584_000,1024,1024
00002395_016,1024,1024
00011597_003,1024,1024
00005701_000,1024,1024
00010548_007,1024,1024
00016083_005,1024,1024
00010613_009,1024,1024
00004065_011,1024,1024
00027370_001,1024,1024
00006952_006,1024,1024
00028000_001,1024,1024
00014140_004,1024,1024
00005220_007,1024,1024
00015732_030,1024,1024
00006481_024,1024,1024
00017466_000,1024,1024
00030418_000,1024,1024
00004605_019,1024,1024
00026683_004,1024,1024
00005225_000,1024,1024
00028181_000,1024,1024
00019038_001,1024,1024
00028890_000,1024,1024
00009710_010,1024,1024
00011446_009,1024,1024
00016632_001,1024,1024
00025580_011,1024,1024
00023179_004,1024,1024
00019436_001,1024,1024
00001946_027,1024,1024
00011948_007,1024,1024
00028039_001,1024,1024
00011944_000,1024,1024
00007390_012,1024,1024
00027089_001,1024,1024
00017736_006,1024,1024
00025884_002,1024,1024
00018359_005,1024,1024
00025163_000,1024,1024
00011891_000,1024,1024
00027213_017,1024,1024
00006144_001,1024,1024
00027338_000,1024,1024
00005066_065,1024,1024
00018855_001,1024,1024
00026785_002,1024,1024
00011890_001,1024,1024
00020630_009,1024,1024
00022572_053,1024,1024
00008802_008,1024,1024
00013760_002,1024,1024
00019538_002,1024,1024
00004959_005,1024,1024
00022097_000,1024,1024
00007302_000,1024,1024
00030695_002,1024,1024
00020349_011,1024,1024
00013249_003,1024,1024
00025529_013,1024,1024
00009959_006,1024,1024
00005365_002,1024,1024
00023211_026,1024,1024
00010618_001,1024,1024
00014149_029,1024,1024
00014182_005,1024,1024
00012625_006,1024,1024
00023219_000,1024,1024
00026078_009,1024,1024
00017846_004,1024,1024
00010805_036,1024,1024
00012437_000,1024,1024
00027038_003,1024,1024
00022316_000,1024,1024
00015531_000,1024,1024
00025839_004,1024,1024
00029517_000,1024,1024
00007729_003,1024,1024
00007034_039,1024,1024
00026908_010,1024,1024
00014589_000,1024,1024
00018801_000,1024,1024
00011580_000,1024,1024
00017137_008,1024,1024
00008515_005,1024,1024
00027278_008,1024,1024
00003896_005,1024,1024
00019110_000,1024,1024
00025142_000,1024,1024
00010531_010,1024,1024
00014302_005,1024,1024
00005094_003,1024,1024
00016729_000,1024,1024
00005671_000,1024,1024
00011553_008,1024,1024
00019619_000,1024,1024
00025047_000,1024,1024
00015493_001,1024,1024
00027763_001,1024,1024
00022416_002,1024,1024
00008720_000,1024,1024
00020020_007,1024,1024
00007729_000,1024,1024
00013894_047,1024,1024
00005448_008,1024,1024
00003190_018,1024,1024
00019730_016,1024,1024
00004555_000,1024,1024
00006338_003,1024,1024
00009006_000,1024,1024
00004822_007,1024,1024
00012021_026,1024,1024
00005532_024,1024,1024
00012430_000,1024,1024
00011405_000,1024,1024
00007870_002,1024,1024
00003393_050,1024,1024
00008835_002,1024,1024
00008328_005,1024,1024
00005504_000,1024,1024
00006425_006,1024,1024
00010092_036,1024,1024
00030427_002,1024,1024
00020287_000,1024,1024
00006391_000,1024,1024
00029908_000,1024,1024
00015770_032,1024,1024
00013539_001,1024,1024
00011702_075,1024,1024
00025238_008,1024,1024
00012692_001,1024,1024
00002046_003,1024,1024
00028579_005,1024,1024
00029248_000,1024,1024
00014664_003,1024,1024
00009727_025,1024,1024
00019956_001,1024,1024
00022118_000,1024,1024
00014201_005,1024,1024
00009746_000,1024,1024
00001734_007,1024,1024
00001582_004,1024,1024
00003754_001,1024,1024
00028142_000,1024,1024
00000621_011,1024,1024
00023057_000,1024,1024
00001437_003,1024,1024
00019753_000,1024,1024
00017267_001,1024,1024
00007498_000,1024,1024
00004366_003,1024,1024
00012566_000,1024,1024
00004328_003,1024,1024
00019258_000,1024,1024
00019089_011,1024,1024
00018204_002,1024,1024
00005749_000,1024,1024
00019419_001,1024,1024
00015171_009,1024,1024
00003778_000,1024,1024
00002735_001,1024,1024
00012159_003,1024,1024
00013111_065,1024,1024
00018284_012,1024,1024
00018829_017,1024,1024
00011702_029,1024,1024
00010294_006,1024,1024
00017669_001,1024,1024
00017747_031,1024,1024
00014545_003,1024,1024
00023490_000,1024,1024
00007093_006,1024,1024
00010737_023,1024,1024
00012276_015,1024,1024
00011144_022,1024,1024
00015854_002,1024,1024
00003513_003,1024,1024
00004342_006,1024,1024
00030075_000,1024,1024
00021127_013,1024,1024
00020213_110,1024,1024
00016508_012,1024,1024
00019680_001,1024,1024
00009488_000,1024,1024
00027725_059,1024,1024
00005448_019,1024,1024
00018626_003,1024,1024
00016550_025,1024,1024
00010007_157,1024,1024
00022333_000,1024,1024
00008841_001,1024,1024
00007304_002,1024,1024
00007034_016,1024,1024
00009871_000,1024,1024
00021676_000,1024,1024
00014414_015,1024,1024
00001543_000,1024,1024
00004103_001,1024,1024
00010544_032,1024,1024
00006632_004,1024,1024
00002359_008,1024,1024
00015078_001,1024,1024
00023154_000,1024,1024
00015486_000,1024,1024
00026349_006,1024,1024
00030419_001,1024,1024
00011424_006,1024,1024
00027725_073,1024,1024
00014525_025,1024,1024
00010530_029,1024,1024
00029203_001,1024,1024
00014015_001,1024,1024
00007405_002,1024,1024
00013613_021,1024,1024
00015605_039,1024,1024
00000877_023,1024,1024
00024265_000,1024,1024
00022137_000,1024,1024
00012594_001,1024,1024
00018979_008,1024,1024
00018101_001,1024,1024
00015886_001,1024,1024
00001230_007,1024,1024
00020945_017,1024,1024
00008216_002,1024,1024
00018259_004,1024,1024
00013031_006,1024,1024
00029105_001,1024,1024
00010888_007,1024,1024
00019006_004,1024,1024
00016064_019,1024,1024
00005641_001,1024,1024
00020848_000,1024,1024
00001912_002,1024,1024
00013047_001,1024,1024
00016587_023,1024,1024
00022919_002,1024,1024
00008729_002,1024,1024
00020163_000,1024,1024
00005909_003,1024,1024
00000981_002,1024,1024
00004145_000,1024,1024
00015693_007,1024,1024
00024194_000,1024,1024
00016601_001,1024,1024
00022816_006,1024,1024
00008399_006,1024,1024
00012184_005,1024,1024
00000524_001,1024,1024
00018944_012,1024,1024
00000490_000,1024,1024
00011140_015,1024,1024
00006973_008,1024,1024
00004402_008,1024,1024
00017642_000,1024,1024
00012935_022,1024,1024
00020520_003,1024,1024
00009297_013,1024,1024
00025013_000,1024,1024
00008518_002,1024,1024
00018266_000,1024,1024
00025045_000,1024,1024
00016550_008,1024,1024
00002117_008,1024,1024
00026258_000,1024,1024
00020085_008,1024,1024
00018251_015,1024,1024
00002570_007,1024,1024
00012834_105,1024,1024
00018304_009,1024,1024
00005456_000,1024,1024
00004205_014,1024,1024
00002913_001,1024,1024
00005171_000,1024,1024
00022947_001,1024,1024
00013071_004,1024,1024
00000882_005,1024,1024
00021613_000,1024,1024
00020213_093,1024,1024
00016122_008,1024,1024
00015031_031,1024,1024
00002491_004,1024,1024
00012907_017,1024,1024
00009079_001,1024,1024
00000334_005,1024,1024
00015530_114,1024,1024
00030606_013,1024,1024
00020094_005,1024,1024
00005721_003,1024,1024
00016166_002,1024,1024
00021277_008,1024,1024
00014571_011,1024,1024
00008551_000,1024,1024
00021860_002,1024,1024
00002571_000,1024,1024
00027397_000,1024,1024
00010297_002,1024,1024
00011365_002,1024,1024
00018949_002,1024,1024
00009107_004,1024,1024
00028628_006,1024,1024
00005763_000,1024,1024
00001855_023,1024,1024
00019565_000,1024,1024
00027075_001,1024,1024
00028223_000,1024,1024
00009917_006,1024,1024
00026320_003,1024,1024
00006215_004,1024,1024
00019824_000,1024,1024
00017747_002,1024,1024
00018735_010,1024,1024
00018055_019,1024,1024
00012993_015,1024,1024
00004787_002,1024,1024
00012973_019,1024,1024
00029597_003,1024,1024
00017138_110,1024,1024
00011622_000,1024,1024
00005226_001,1024,1024
00009501_000,1024,1024
00011054_000,1024,1024
00016589_005,1024,1024
00025610_000,1024,1024
00004736_000,1024,1024
00015034_007,1024,1024
00002015_000,1024,1024
00004007_008,1024,1024
00007374_001,1024,1024
00019785_022,1024,1024
00008962_001,1024,1024
00022943_003,1024,1024
00010104_005,1024,1024
00003894_009,1024,1024
00005759_000,1024,1024
00022374_005,1024,1024
00012116_003,1024,1024
00015031_029,1024,1024
00029597_007,1024,1024
00012733_000,1024,1024
00008062_006,1024,1024
00022442_002,1024,1024
00021911_005,1024,1024
00013078_000,1024,1024
00004850_008,1024,1024
00030120_000,1024,1024
00012134_002,1024,1024
00007745_002,1024,1024
00009242_000,1024,1024
00010032_007,1024,1024
00005712_015,1024,1024
00012891_001,1024,1024
00001187_002,1024,1024
00015985_000,1024,1024
00010749_000,1024,1024
00028640_004,1024,1024
00012891_008,1024,1024
00010352_025,1024,1024
00010718_002,1024,1024
00002299_009,1024,1024
00028682_004,1024,1024
00009021_003,1024,1024
00002502_000,1024,1024
00011993_000,1024,1024
00018989_006,1024,1024
00012987_009,1024,1024
00026652_001,1024,1024
00013972_000,1024,1024
00011831_007,1024,1024
00009574_030,1024,1024
00011962_000,1024,1024
00008343_000,1024,1024
00003007_000,1024,1024
00013993_002,1024,1024
00020213_009,1024,1024
00016086_002,1024,1024
00028974_020,1024,1024
